zcta5ce20,distributed_trips
07002,0.0
07206,0.0
07305,2.8
10001,47.9
10002,63.2
10003,44.0
10004,34.5
10005,5.6
10006,7.4
10007,12.3
10009,46.9
10010,28.3
10011,49.4
10012,24.9
10013,41.4
10014,37.2
10016,42.0
10017,22.7
10018,26.3
10019,50.6
10020,1.4
10021,27.4
10022,34.1
10023,77.3
10024,80.0
10025,46.3
10026,0.2
10027,0.6
10028,24.3
10029,27.7
10030,0.2
10031,0.4
10032,0.4
10033,0.4
10034,0.6
10035,0.8
10036,34.2
10037,0.1
10038,21.4
10039,0.2
10040,0.3
10044,17.3
10065,32.2
10069,3.2
10075,14.5
10103,0.7
10110,0.8
10111,0.7
10112,0.7
10115,0.0
10119,2.0
10128,33.1
10152,0.4
10153,0.4
10154,0.4
10162,0.9
10165,0.4
10167,0.4
10168,0.4
10169,0.2
10170,0.7
10171,0.4
10172,0.4
10173,0.4
10174,0.4
10177,0.2
10199,1.9
10271,0.2
10278,1.1
10279,0.3
10280,8.1
10282,5.2
10301,0.8
10302,0.2
10303,0.6
10304,0.7
10305,0.8
10306,1.5
10307,0.3
10308,0.5
10309,1.5
10310,0.4
10311,0.0
10312,1.4
10314,2.8
10451,12.5
10452,11.5
10453,10.6
10454,12.4
10455,8.3
10456,12.7
10457,15.5
10458,14.4
10459,9.8
10460,17.2
10461,22.2
10462,14.3
10463,26.2
10464,27.3
10465,36.2
10466,18.9
10467,24.2
10468,11.3
10469,22.8
10470,13.3
10471,15.7
10472,10.1
10473,20.1
10474,18.0
10475,12.2
10550,0.1
10704,0.0
10705,0.2
10803,0.3
11001,4.2
11003,0.0
11004,15.2
11005,2.9
11020,0.2
11021,0.0
11040,2.7
11042,0.0
11096,0.0
11101,99.4
11102,26.9
11103,26.6
11104,16.8
11105,62.7
11106,32.9
11109,1.8
11201,16.4
11203,184.6
11204,166.5
11205,14.1
11206,16.9
11207,165.3
11208,279.3
11209,219.7
11210,172.2
11211,17.6
11212,51.0
11213,13.0
11214,210.8
11215,26.7
11216,11.6
11217,8.9
11218,110.4
11219,142.1
11220,58.9
11221,16.7
11222,18.4
11223,216.1
11224,162.5
11225,10.6
11226,116.8
11228,156.3
11229,209.6
11230,192.4
11231,17.1
11232,14.9
11233,16.3
11234,748.5
11235,256.8
11236,357.6
11237,12.0
11238,23.4
11239,162.8
11249,8.6
11354,47.2
11355,36.9
11356,25.3
11357,46.3
11358,31.3
11359,4.0
11360,22.0
11361,27.7
11362,33.2
11363,14.0
11364,40.1
11365,40.0
11366,24.4
11367,32.5
11368,95.4
11369,45.0
11370,48.9
11371,365.9
11372,28.4
11373,57.9
11374,30.5
11375,86.7
11377,96.4
11378,63.0
11379,40.6
11385,101.5
11411,18.9
11412,26.5
11413,48.5
11414,36.9
11415,18.4
11416,21.4
11417,18.6
11418,54.6
11419,27.3
11420,33.7
11421,42.3
11422,33.9
11423,26.9
11424,0.6
11426,21.9
11427,25.1
11428,13.3
11429,21.1
11430,1550.7
11432,48.8
11433,30.8
11434,53.7
11435,42.1
11436,12.8
11439,2.4
11451,2.4
11559,0.1
11580,0.0
11581,0.0
11691,42.8
11692,16.2
11693,15.8
11694,27.9
11697,32.7
